1;11245
101;2373
201;1745
301;1778
401;1825
501;1791
601;1812
701;1830
801;1840
901;1886
1001;1916
1101;2321
1201;3577
1301;2662
1401;2045
1501;3417
1601;3299
1701;2153
1801;2269
1901;2471
2001;2100
2101;2131
2201;2220
2301;2174
2401;2322
2501;2334
2601;2351
2701;3000
2801;2298
2901;3629
3001;4132
101;95027
10201;77119
20301;74960
30401;86502
40501;87788
50601;105782
60701;90157
70801;129497
80901;115628
91001;135848
101101;110022
111201;142882
121301;113952
131401;108296
141501;115424
151601;120399
161701;116137
171801;115964
181901;118748
192001;119389
202101;121486
212201;161747
222301;136975
232401;135203
242501;144742
252601;143795
262701;140386
272801;167404
282901;157361
293001;194116
303101;185930
201;188027
20301;173072
40401;154703
60501;165231
80601;187003
100701;222870
120801;197252
140901;184322
161001;197936
181101;198742
201201;216219
221301;236808
241401;212456
261501;235623
281601;219227
301701;234138
321801;274344
341901;233031
362001;263745
382101;254628
402201;306806
422301;312395
442401;270310
462501;283423
482601;281143
502701;343914
522801;294759
542901;307373
563001;328652
583101;373249
603201;326318
301;210705
30401;230276
60501;262284
90601;257996
120701;274780
150801;263750
180901;330381
211001;304403
241101;328612
271201;350335
301301;352475
331401;314880
361501;341335
391601;380851
421701;357550
451801;365913
481901;415943
512001;353674
542101;373490
572201;448479
602301;394872
632401;422148
662501;482098
692601;429977
722701;441359
752801;588189
782901;519310
813001;569039
843101;521822
873201;511284
903301;615051
401;303388
40501;314199
80601;350666
120701;350461
160801;323011
200901;415619
241001;383603
281101;409171
321201;411923
361301;396887
401401;410134
441501;481807
481601;422892
521701;490361
561801;442638
601901;502178
642001;524340
682101;495159
722201;1000101
762301;696315
802401;618702
842501;611148
882601;663939
922701;767014
962801;756547
1002901;835260
1043001;815901
1083101;846825
1123201;880766
1163301;879913
1203401;1025819
501;394789
50601;421572
100701;458734
150801;501385
200901;442667
251001;533181
301101;479481
351201;523044
401301;519121
451401;502713
501501;614782
551601;581320
601701;626108
651801;692697
701901;675380
752001;697317
802101;665269
852201;844917
902301;775510
952401;733923
1002501;850148
1052601;839363
1102701;1422196
1152801;1070654
1202901;1009589
1253001;1052869
1303101;1531978
1353201;1295528
1403301;1173508
1453401;1151264
1503501;1282418
601;463187
60701;489722
120801;535960
180901;518668
241001;595648
301101;559973
361201;604846
421301;686416
481401;654977
541501;736734
601601;690200
661701;793161
721801;818977
781901;789077
842001;899025
902101;997445
962201;851603
1022301;967242
1082401;1009759
1142501;1169088
1202601;1241609
1262701;1151555
1322801;1190434
1382901;1293896
1443001;1364826
1503101;1406373
1563201;1394356
1623301;1353703
1683401;1357891
1743501;1447508
1803601;1490422
701;506313
70801;516712
140901;576902
211001;552137
281101;642046
351201;631724
421301;695187
491401;667207
561501;706751
631601;781737
701701;766884
771801;893691
841901;863154
912001;936162
982101;893144
1052201;1102093
1122301;1083280
1192401;1118539
1262501;1211124
1332601;1246193
1402701;1269273
1472801;1311964
1542901;1369743
1613001;1434814
1683101;1458849
1753201;1515087
1823301;1530650
1893401;1679878
1963501;1704405
2033601;1674723
2103701;1690772
801;600694
80901;639074
161001;675647
241101;710357
321201;658737
401301;833560
481401;817399
561501;799247
641601;843512
721701;875550
801801;983172
881901;1037651
962001;1368466
1042101;1180473
1122201;1202659
1202301;1225394
1282401;1302447
1362501;1474023
1442601;1430443
1522701;1510884
1602801;1513157
1682901;1569939
1763001;1690149
1843101;1688909
