Size;Time[ns];Method
498;2200;at
499;600;at
500;1700;at
501;2600;at
502;2500;at
503;1600;at
504;2000;at
505;2100;at
506;1100;at
507;2500;at
508;1100;at
509;500;at
510;1300;at
511;1100;at
512;2300;at
513;1300;at
514;2300;at
515;1800;at
516;2300;at
517;2100;at
518;1000;at
519;700;at
520;900;at
521;1100;at
522;2400;at
523;1500;at
524;1200;at
525;2500;at
526;1300;at
527;400;at
528;1100;at
529;2600;at
530;2400;at
531;1400;at
532;400;at
533;2900;at
534;2500;at
535;2500;at
536;2600;at
537;500;at
538;2600;at
539;1100;at
540;2400;at
541;3000;at
542;500;at
543;1200;at
544;3200;at
545;3500;at
546;1500;at
547;800;at
548;1500;at
549;2300;at
550;1400;at
551;1600;at
552;2900;at
553;3000;at
554;1600;at
555;2700;at
556;1400;at
557;4000;at
558;1300;at
559;1700;at
560;3300;at
561;3400;at
562;2300;at
563;1100;at
564;600;at
565;1700;at
566;3000;at
567;2500;at
568;1800;at
569;3400;at
570;1900;at
571;1600;at
572;2000;at
573;3800;at
574;1200;at
575;2600;at
576;3000;at
577;1600;at
578;1300;at
579;1100;at
580;1300;at
581;1100;at
582;3600;at
583;3600;at
584;1400;at
585;1900;at
586;3800;at
587;1000;at
588;4100;at
589;1200;at
590;1300;at
591;1200;at
592;3900;at
593;3100;at
594;2100;at
595;4200;at
596;2400;at
597;1100;at
598;3200;at
599;800;at
600;2700;at
601;2900;at
602;3200;at
603;2100;at
604;2300;at
605;2300;at
606;2900;at
607;1700;at
608;700;at
609;900;at
610;2500;at
611;600;at
612;2100;at
613;700;at
614;400;at
615;2800;at
616;500;at
617;1600;at
618;900;at
619;4100;at
620;900;at
621;2600;at
622;1300;at
623;2500;at
624;15900;at
625;1000;at
626;1100;at
627;400;at
628;500;at
629;3400;at
630;1100;at
631;1100;at
632;1100;at
633;2800;at
634;2900;at
635;2500;at
636;1900;at
637;1400;at
638;600;at
639;2700;at
640;300;at
641;1000;at
642;700;at
643;2000;at
644;1400;at
645;1700;at
646;700;at
647;1200;at
648;2000;at
649;400;at
650;1300;at
651;600;at
652;24200;at
653;3300;at
654;1800;at
655;1300;at
656;900;at
657;1400;at
658;3400;at
659;1000;at
660;600;at
661;800;at
662;2700;at
663;1600;at
664;2100;at
665;2800;at
666;500;at
667;1800;at
668;1700;at
669;2800;at
670;2100;at
671;3500;at
672;1200;at
673;1900;at
674;1500;at
675;500;at
676;1700;at
677;3000;at
678;3000;at
679;2600;at
680;1800;at
681;900;at
682;1100;at
683;1000;at
684;1600;at
685;2000;at
686;2400;at
687;1700;at
688;2400;at
689;1300;at
690;2900;at
691;2700;at
692;1300;at
693;1300;at
694;1400;at
695;1300;at
696;3000;at
697;1600;at
698;2700;at
699;2700;at
700;2000;at
701;1400;at
702;1700;at
703;3200;at
704;1400;at
705;3300;at
706;2800;at
707;1600;at
708;1400;at
709;2300;at
710;2600;at
711;2600;at
712;2100;at
713;2100;at
714;900;at
715;1200;at
716;1200;at
717;3300;at
718;2700;at
719;2700;at
720;1200;at
721;2400;at
722;1300;at
723;2100;at
724;2000;at
725;600;at
726;300;at
727;600;at
728;2400;at
729;2500;at
730;1100;at
731;2900;at
732;2700;at
733;1100;at
734;1700;at
735;1600;at
736;2900;at
737;1000;at
738;1500;at
739;2000;at
740;3000;at
741;1500;at
742;3400;at
743;500;at
744;1200;at
745;2700;at
746;1900;at
747;1200;at
748;900;at
749;1200;at
750;1500;at
751;500;at
752;3000;at
753;3200;at
754;2500;at
755;2100;at
756;400;at
757;2200;at
758;1200;at
759;900;at
760;3000;at
761;1400;at
762;2400;at
763;3500;at
764;3900;at
765;3400;at
766;3200;at
767;3000;at
768;1800;at
769;2300;at
770;3600;at
771;400;at
772;1200;at
773;1600;at
774;1300;at
775;3600;at
776;1400;at
777;3300;at
778;2100;at
779;1600;at
780;4300;at
781;700;at
782;900;at
783;3200;at
784;2800;at
785;3600;at
786;1000;at
787;600;at
788;3200;at
789;1200;at
790;400;at
791;1200;at
792;3200;at
793;4100;at
794;600;at
795;2800;at
796;2200;at
797;3500;at
798;2100;at
799;2700;at
800;1100;at
801;2300;at
802;2600;at
803;3500;at
804;3200;at
805;1200;at
806;700;at
807;3700;at
808;2200;at
809;3800;at
810;2100;at
811;3100;at
812;1300;at
813;2000;at
814;3700;at
815;1700;at
816;3800;at
817;1400;at
818;1800;at
819;700;at
820;1100;at
821;3600;at
822;1200;at
823;2900;at
824;400;at
825;2700;at
826;3800;at
827;300;at
828;1300;at
829;1400;at
830;2000;at
831;900;at
832;2900;at
833;3000;at
834;1600;at
835;3600;at
836;2100;at
837;2100;at
838;3400;at
839;1000;at
840;2000;at
841;2600;at
842;1400;at
843;700;at
844;1100;at
845;2400;at
846;3100;at
847;1500;at
848;600;at
849;3900;at
850;3800;at
851;3600;at
852;600;at
853;2800;at
854;1400;at
855;1300;at
856;2800;at
857;1900;at
858;3900;at
859;4100;at
860;700;at
861;3900;at
862;3900;at
863;3000;at
864;3700;at
865;3600;at
866;4100;at
867;800;at
868;1200;at
869;3200;at
870;1400;at
871;2500;at
872;3200;at
873;700;at
874;1700;at
875;1800;at
876;1600;at
877;3100;at
878;1600;at
879;2200;at
880;1700;at
881;1600;at
882;1200;at
883;2400;at
884;1500;at
885;1800;at
886;2400;at
887;800;at
888;3700;at
889;3100;at
890;1200;at
891;600;at
892;3300;at
893;2400;at
894;1300;at
895;1700;at
896;2700;at
897;1800;at
898;2200;at
899;1600;at
900;2900;at
901;3800;at
902;2100;at
903;2400;at
904;4000;at
905;1700;at
906;2600;at
907;1600;at
908;3800;at
909;2800;at
910;2400;at
911;2500;at
912;800;at
913;1400;at
914;600;at
915;900;at
916;700;at
917;4800;at
918;3800;at
919;800;at
920;1400;at
921;3400;at
922;1500;at
923;1600;at
924;2100;at
925;3300;at
926;2300;at
927;1200;at
928;3300;at
929;1700;at
930;3400;at
931;4400;at
932;1600;at
933;1800;at
934;4200;at
935;4000;at
936;600;at
937;2600;at
938;2900;at
939;3800;at
940;1400;at
941;4500;at
942;1900;at
943;900;at
944;4100;at
945;2200;at
946;3900;at
947;2500;at
948;600;at
949;4000;at
950;2000;at
951;1900;at
952;3000;at
953;1000;at
954;1700;at
955;900;at
956;3900;at
957;2100;at
958;3000;at
959;3600;at
960;500;at
961;2600;at
962;3600;at
963;16900;at
964;3400;at
965;3200;at
966;800;at
967;2200;at
968;3700;at
969;3600;at
970;800;at
971;2700;at
972;1700;at
973;3000;at
974;1600;at
975;3200;at
976;1300;at
977;1200;at
978;4200;at
979;3700;at
980;2600;at
981;2200;at
982;2300;at
983;2500;at
984;3900;at
985;4200;at
986;4400;at
987;4700;at
988;2100;at
989;2300;at
990;1300;at
991;4100;at
992;2800;at
993;2600;at
994;1900;at
995;2900;at
996;3500;at
997;2200;at
998;2100;at
999;900;at
1000;300;at
1001;3000;at
1002;3200;at
1003;2300;at
1004;1200;at
1005;2200;at
1006;3100;at
1007;3600;at
1008;4100;at
1009;1300;at
1010;1000;at
1011;3000;at
1012;1600;at
1013;4800;at
1014;1800;at
1015;3100;at
1016;2100;at
1017;1600;at
1018;3000;at
1019;1800;at
1020;400;at
1021;3100;at
1022;3400;at
1023;3000;at
1024;4700;at
1025;3900;at
1026;1200;at
1027;700;at
1028;3200;at
1029;2500;at
1030;2600;at
1031;3600;at
1032;2300;at
1033;4300;at
1034;4500;at
1035;4500;at
1036;4100;at
1037;2400;at
1038;4200;at
1039;800;at
1040;1400;at
1041;2300;at
1042;4700;at
1043;2100;at
1044;3000;at
1045;2400;at
1046;3100;at
1047;4800;at
1048;2600;at
1049;5600;at
1050;2500;at
1051;5000;at
1052;3400;at
1053;600;at
1054;600;at
1055;2700;at
1056;2300;at
1057;4200;at
1058;4500;at
1059;3200;at
1060;2900;at
1061;1400;at
1062;3700;at
1063;3500;at
1064;1400;at
1065;900;at
1066;3800;at
1067;3800;at
1068;4800;at
1069;2600;at
1070;2700;at
1071;1300;at
1072;2200;at
1073;2900;at
1074;2800;at
1075;1800;at
1076;1000;at
1077;4600;at
1078;3400;at
1079;800;at
1080;3900;at
1081;3300;at
1082;1800;at
1083;500;at
1084;5100;at
1085;2700;at
1086;1200;at
1087;600;at
1088;1500;at
1089;5200;at
1090;1900;at
1091;3800;at
1092;2500;at
1093;5500;at
1094;5200;at
1095;3400;at
1096;1800;at
1097;6000;at
1098;3500;at
1099;3700;at
1100;1300;at
1101;3100;at
1102;5400;at
1103;4200;at
1104;3900;at
1105;2200;at
1106;5200;at
1107;5300;at
1108;2300;at
1109;2500;at
1110;2800;at
1111;500;at
1112;1600;at
1113;4500;at
1114;3800;at
1115;3800;at
1116;4100;at
