Size;Time[ns];Method
411;3200;insert
412;3100;insert
413;2500;insert
414;1700;insert
415;2100;insert
416;2200;insert
417;5000;insert
418;3500;insert
419;4600;insert
420;3600;insert
421;2900;insert
422;3900;insert
423;4200;insert
424;2300;insert
425;4100;insert
426;2200;insert
427;3800;insert
428;2900;insert
429;18900;insert
430;1200;insert
431;1900;insert
432;1700;insert
433;1900;insert
434;900;insert
435;3300;insert
436;1300;insert
437;3800;insert
438;1800;insert
439;1600;insert
440;3000;insert
441;1800;insert
442;1300;insert
443;2600;insert
444;3400;insert
445;2100;insert
446;800;insert
447;2600;insert
448;900;insert
449;1500;insert
450;2500;insert
451;1700;insert
452;800;insert
453;22200;insert
454;2300;insert
455;1500;insert
456;1300;insert
457;2300;insert
458;1500;insert
459;2400;insert
460;3500;insert
461;2600;insert
462;1900;insert
463;3500;insert
464;2700;insert
465;1900;insert
466;1400;insert
467;2200;insert
468;2700;insert
469;2100;insert
470;1700;insert
471;2200;insert
472;2100;insert
473;2400;insert
474;1400;insert
475;800;insert
476;3000;insert
477;1800;insert
478;2400;insert
479;2300;insert
480;1500;insert
481;1100;insert
482;2700;insert
483;1600;insert
484;3300;insert
485;2600;insert
486;2700;insert
487;1000;insert
488;3700;insert
489;5600;insert
490;3100;insert
491;1800;insert
492;3600;insert
493;3200;insert
494;1700;insert
495;2800;insert
496;2000;insert
497;2400;insert
498;2400;insert
499;3500;insert
500;2900;insert
501;2200;insert
502;4400;insert
503;3300;insert
504;3000;insert
505;5500;insert
506;3800;insert
507;6200;insert
508;4200;insert
509;2400;insert
510;1700;insert
511;1500;insert
512;2400;insert
513;3500;insert
514;2400;insert
515;3300;insert
516;800;insert
517;1400;insert
518;2400;insert
519;1800;insert
520;1100;insert
521;2200;insert
522;1400;insert
523;2800;insert
524;3000;insert
525;3300;insert
526;2700;insert
527;900;insert
528;3200;insert
529;3000;insert
530;2400;insert
531;2700;insert
532;1200;insert
533;2700;insert
534;2600;insert
535;1900;insert
536;1100;insert
537;2700;insert
538;1000;insert
539;3200;insert
540;1700;insert
541;1600;insert
542;3100;insert
543;3200;insert
544;3000;insert
545;900;insert
546;1500;insert
547;3900;insert
548;2800;insert
549;3000;insert
550;3700;insert
551;1900;insert
552;800;insert
553;2100;insert
554;900;insert
555;2600;insert
556;3300;insert
557;2000;insert
558;2600;insert
559;5200;insert
560;1800;insert
561;1800;insert
562;3000;insert
563;4000;insert
564;800;insert
565;2200;insert
566;1200;insert
567;2800;insert
568;2500;insert
569;1500;insert
570;1300;insert
571;2400;insert
572;4000;insert
573;5500;insert
574;1800;insert
575;2900;insert
576;2000;insert
577;3500;insert
578;5400;insert
579;3900;insert
580;4900;insert
581;3800;insert
582;5200;insert
583;1400;insert
584;2500;insert
585;5000;insert
586;1300;insert
587;3200;insert
588;1600;insert
589;2600;insert
590;1700;insert
591;1400;insert
592;2600;insert
593;1000;insert
594;1900;insert
595;1600;insert
596;2900;insert
597;1700;insert
598;3300;insert
599;2800;insert
600;2100;insert
601;3700;insert
602;700;insert
603;1500;insert
604;1300;insert
605;1700;insert
606;1200;insert
607;3000;insert
608;900;insert
609;3000;insert
610;2300;insert
611;1400;insert
612;1100;insert
613;4300;insert
614;3400;insert
615;3200;insert
616;2200;insert
617;2900;insert
618;3000;insert
619;4800;insert
620;2200;insert
621;1800;insert
622;23700;insert
623;2400;insert
624;3700;insert
625;2700;insert
626;1200;insert
627;2600;insert
628;3400;insert
629;1700;insert
630;800;insert
631;1800;insert
632;3900;insert
633;2100;insert
634;3200;insert
635;3300;insert
636;1200;insert
637;3100;insert
638;2100;insert
639;2100;insert
640;3300;insert
641;2500;insert
642;2500;insert
643;4100;insert
644;2600;insert
645;800;insert
646;4000;insert
647;3200;insert
648;3000;insert
649;1300;insert
650;3800;insert
651;1500;insert
652;3400;insert
653;2900;insert
654;3700;insert
655;1300;insert
656;3600;insert
657;1300;insert
658;3100;insert
659;1400;insert
660;2500;insert
661;1400;insert
662;3200;insert
663;4600;insert
664;1100;insert
665;3800;insert
666;2600;insert
667;1600;insert
668;1100;insert
669;2100;insert
670;3500;insert
671;2400;insert
672;3700;insert
673;2700;insert
674;1900;insert
675;2600;insert
676;3900;insert
677;3900;insert
678;2500;insert
679;900;insert
680;2700;insert
681;2100;insert
682;3400;insert
683;2700;insert
684;4100;insert
685;1100;insert
686;3600;insert
687;3000;insert
688;2900;insert
689;1800;insert
690;1900;insert
691;3700;insert
692;2800;insert
693;4000;insert
694;1800;insert
695;1900;insert
696;2400;insert
697;4300;insert
698;2200;insert
